Data Log

TimeStamp,Voltage,Current,Temperature
2023-04-04 16:34:04.660,19603,492,26.3
2023-04-04 16:34:06.578,19603,491,26.2
2023-04-04 16:34:08.676,19604,491,26.3
2023-04-04 16:34:10.592,19604,492,26.2
2023-04-04 16:34:12.695,19604,491,26.2
2023-04-04 16:34:14.613,19604,491,26.2
2023-04-04 16:34:16.694,19605,491,26.2
2023-04-04 16:34:18.635,19604,491,26.2
2023-04-04 16:34:20.708,19606,491,26.3
2023-04-04 16:34:22.640,19606,492,26.2
2023-04-04 16:34:24.740,19606,491,26.2
2023-04-04 16:34:26.649,19607,491,26.2
2023-04-04 16:34:28.725,19607,492,26.2
2023-04-04 16:34:30.676,19607,491,26.2
2023-04-04 16:34:32.741,19608,491,26.3
2023-04-04 16:34:34.690,19608,491,26.2
2023-04-04 16:34:36.755,19608,492,26.2
2023-04-04 16:34:38.713,19608,491,26.2
2023-04-04 16:34:40.755,19609,492,26.2
2023-04-04 16:34:42.733,19610,491,26.2
2023-04-04 16:34:44.786,19610,491,26.3
2023-04-04 16:34:46.746,19610,491,26.2
2023-04-04 16:34:48.787,19610,491,26.2
2023-04-04 16:34:50.774,19611,491,26.2
2023-04-04 16:34:52.802,19611,492,26.2
2023-04-04 16:34:54.796,19611,491,26.2
2023-04-04 16:34:56.800,19612,492,26.3
2023-04-04 16:34:58.810,19612,491,26.2
2023-04-04 16:35:00.812,19613,492,26.2
2023-04-04 16:35:02.824,19613,491,26.2
2023-04-04 16:35:04.833,19613,491,26.2
2023-04-04 16:35:06.846,19613,492,26.2
2023-04-04 16:35:08.854,19614,491,26.3
2023-04-04 16:35:10.864,19614,491,26.2
2023-04-04 16:35:12.867,19615,491,26.2
2023-04-04 16:35:14.879,19615,491,26.2
2023-04-04 16:35:16.881,19615,492,26.2
2023-04-04 16:35:18.886,19616,491,26.2
2023-04-04 16:35:20.894,19617,492,26.3
2023-04-04 16:35:22.904,19617,491,26.2
2023-04-04 16:35:24.910,19616,491,26.2
2023-04-04 16:35:26.922,19617,492,26.2
2023-04-04 16:35:28.937,19617,492,26.2
2023-04-04 16:35:30.937,19617,492,26.2
2023-04-04 16:35:32.948,19618,491,26.2
2023-04-04 16:35:36.413,19619,492,26.2
2023-04-04 16:35:36.968,19619,492,26.2
2023-04-04 16:35:40.298,19620,492,26.2
2023-04-04 16:35:40.983,19619,492,26.2
2023-04-04 16:35:44.475,19620,492,26.2
2023-04-04 16:35:44.997,19620,492,26.2
2023-04-04 16:35:48.476,19621,492,26.2
2023-04-04 16:35:49.010,19621,491,26.2
2023-04-04 16:35:52.302,19621,492,26.2
2023-04-04 16:35:53.035,19621,492,26.2
2023-04-04 16:35:56.319,19622,492,26.2
2023-04-04 16:35:57.053,19622,492,26.2
2023-04-04 16:36:00.442,19623,492,26.2
2023-04-04 16:36:01.075,19623,491,26.2
2023-04-04 16:36:04.341,19624,492,26.2
2023-04-04 16:36:05.088,19624,492,26.2
2023-04-04 16:36:08.354,19625,492,26.2
2023-04-04 16:36:09.116,19624,492,26.1
2023-04-04 16:36:12.522,19625,492,26.2
2023-04-04 16:36:13.142,19625,492,26.2
2023-04-04 16:36:16.403,19625,492,26.2
2023-04-04 16:36:17.166,19626,492,26.2
2023-04-04 16:36:20.360,19627,492,26.2
2023-04-04 16:36:21.183,19627,491,26.2
2023-04-04 16:36:24.379,19627,492,26.2
2023-04-04 16:36:25.209,19627,492,26.2
2023-04-04 16:36:28.521,19627,492,26.2
2023-04-04 16:36:29.232,19628,492,26.2
2023-04-04 16:36:32.378,19630,491,26.2
2023-04-04 16:36:33.249,19629,492,26.2
2023-04-04 16:36:36.395,19630,492,26.2
2023-04-04 16:36:37.269,19629,491,26.2
2023-04-04 16:36:40.383,19631,492,26.2
2023-04-04 16:36:41.292,19629,492,26.2
2023-04-04 16:36:44.382,19632,491,26.2
2023-04-04 16:36:45.307,19631,491,26.2
2023-04-04 16:36:48.553,19630,491,26.2
2023-04-04 16:36:49.333,19631,492,26.2
2023-04-04 16:36:52.402,19632,491,26.2
2023-04-04 16:36:53.354,19632,492,26.2
2023-04-04 16:36:56.399,19633,492,26.2
2023-04-04 16:36:57.370,19632,492,26.2
2023-04-04 16:37:00.436,19634,491,26.2
2023-04-04 16:37:01.384,19634,491,26.2
2023-04-04 16:37:04.452,19634,492,26.2
2023-04-04 16:37:05.403,19634,492,26.2
2023-04-04 16:37:08.597,19634,492,26.2
2023-04-04 16:37:09.422,19634,491,26.2
2023-04-04 16:37:12.472,19636,492,26.2
2023-04-04 16:37:13.440,19634,492,26.2
2023-04-04 16:37:16.444,19635,491,26.2
2023-04-04 16:37:17.448,19636,491,26.2
2023-04-04 16:37:20.471,19636,492,26.2
2023-04-04 16:37:21.468,19636,491,26.2
2023-04-04 16:37:24.631,19640,492,26.2
2023-04-04 16:37:25.472,19636,492,26.2
2023-04-04 16:37:28.548,19640,491,26.2
2023-04-04 16:37:29.487,19638,492,26.2
2023-04-04 16:37:32.520,19638,492,26.2
2023-04-04 16:37:33.509,19639,492,26.2
2023-04-04 16:37:36.534,19639,491,26.2
2023-04-04 16:37:37.539,19639,492,26.2
2023-04-04 16:37:40.584,19640,491,26.2
2023-04-04 16:37:41.566,19639,492,26.2
2023-04-04 16:37:44.573,19640,491,26.2
2023-04-04 16:37:45.591,19640,491,26.2
2023-04-04 16:37:48.534,19641,492,26.2
2023-04-04 16:37:49.616,19641,492,26.2
2023-04-04 16:37:52.552,19641,492,26.2
2023-04-04 16:37:53.642,19641,491,26.2
2023-04-04 16:37:56.557,19641,492,26.2
2023-04-04 16:37:57.652,19642,491,26.2
2023-04-04 16:38:00.832,19643,492,26.2
2023-04-04 16:38:01.671,19642,491,26.2
2023-04-04 16:38:04.678,19644,491,26.2
2023-04-04 16:38:05.674,19643,492,26.1
2023-04-04 16:38:08.612,19644,492,26.1
2023-04-04 16:38:09.696,19644,492,26.2
2023-04-04 16:38:12.609,19645,492,26.2
2023-04-04 16:38:13.702,19645,492,26.1
2023-04-04 16:38:16.645,19645,492,26.2
2023-04-04 16:38:17.718,19646,491,26.1
2023-04-04 16:38:20.676,19647,491,26.1
2023-04-04 16:38:21.745,19646,492,26.2
2023-04-04 16:38:24.626,19647,491,26.2
2023-04-04 16:38:25.773,19647,491,26.1
2023-04-04 16:38:28.632,19648,491,26.1
2023-04-04 16:38:29.797,19647,491,26.1
2023-04-04 16:38:32.738,19648,491,26.1
2023-04-04 16:38:33.819,19648,492,26.2
2023-04-04 16:38:36.668,19650,491,26.1
2023-04-04 16:38:37.841,19649,491,26.1
2023-04-04 16:38:40.682,19650,491,26.1
2023-04-04 16:38:41.861,19649,491,26.1
2023-04-04 16:38:44.695,19651,491,26.1
2023-04-04 16:38:45.886,19650,491,26.2
2023-04-04 16:38:48.681,19651,491,26.1
2023-04-04 16:38:49.903,19651,491,26.1
2023-04-04 16:38:52.688,19652,492,26.1
2023-04-04 16:38:53.914,19652,491,26.1
2023-04-04 16:38:56.731,19652,492,26.1
2023-04-04 16:38:57.929,19652,491,26.1
2023-04-04 16:39:00.778,19653,492,26.2
2023-04-04 16:39:01.950,19653,491,26.1
2023-04-04 16:39:04.718,19654,492,26.1
2023-04-04 16:39:05.972,19653,491,26.1
2023-04-04 16:39:08.718,19655,492,26.1
2023-04-04 16:39:09.996,19654,491,26.1
2023-04-04 16:39:12.774,19656,491,26.1
2023-04-04 16:39:14.016,19655,491,26.1
2023-04-04 16:39:16.758,19656,491,26.1
2023-04-04 16:39:18.036,19655,491,26.0
2023-04-04 16:39:20.764,19657,491,26.1
2023-04-04 16:39:22.051,19656,491,26.1
2023-04-04 16:39:24.808,19657,491,26.1
2023-04-04 16:39:26.066,19657,492,26.0
2023-04-04 16:39:28.821,19658,491,26.1
2023-04-04 16:39:30.088,19657,491,26.0
2023-04-04 16:39:32.852,19658,491,26.1
2023-04-04 16:39:34.104,19658,491,26.1
2023-04-04 16:39:36.821,19658,492,26.0
2023-04-04 16:39:38.124,19658,491,26.0
2023-04-04 16:39:40.786,19660,492,26.0
2023-04-04 16:39:42.142,19659,491,26.1
2023-04-04 16:39:44.787,19660,491,26.0
2023-04-04 16:39:46.153,19660,491,26.1
2023-04-04 16:39:48.786,19661,492,26.0
2023-04-04 16:39:50.165,19660,491,26.1
2023-04-04 16:39:52.802,19661,492,26.0
2023-04-04 16:39:54.187,19661,491,26.0
2023-04-04 16:39:56.806,19662,491,26.1
2023-04-04 16:39:58.208,19662,492,25.9
2023-04-04 16:40:00.843,19663,491,26.0
2023-04-04 16:40:02.225,19662,492,26.0
2023-04-04 16:40:04.903,19664,491,26.0
2023-04-04 16:40:06.250,19663,491,26.0
2023-04-04 16:40:08.964,19665,491,26.0
2023-04-04 16:40:10.281,19664,492,25.9
2023-04-04 16:40:12.934,19665,492,26.0
2023-04-04 16:40:14.298,19664,492,26.0
2023-04-04 16:40:16.855,19665,492,26.0
2023-04-04 16:40:18.326,19665,491,26.0
2023-04-04 16:40:20.912,19666,491,26.0
2023-04-04 16:40:22.347,19666,492,26.1
2023-04-04 16:40:24.932,19666,491,26.0
2023-04-04 16:40:26.373,19666,491,26.0
2023-04-04 16:40:28.905,19667,491,26.0
2023-04-04 16:40:30.380,19668,491,26.0
2023-04-04 16:40:32.915,19668,492,26.0
2023-04-04 16:40:34.398,19667,491,26.1
2023-04-04 16:40:36.934,19668,491,26.0
2023-04-04 16:40:38.406,19668,492,26.0
2023-04-04 16:40:40.864,19669,491,26.1
2023-04-04 16:40:42.425,19669,491,26.0
2023-04-04 16:40:44.902,19670,492,26.0
2023-04-04 16:40:46.436,19669,491,26.1
2023-04-04 16:40:48.972,19671,491,26.0
2023-04-04 16:40:50.447,19670,492,26.0
2023-04-04 16:40:52.976,19671,492,26.0
2023-04-04 16:40:54.472,19671,491,26.0
2023-04-04 16:40:56.934,19672,492,26.0
2023-04-04 16:40:58.486,19672,492,26.0
